grid_size, iteration bound, run, total_points, points_inside
100, 50, 0, 1.0000000000000002, 0.8190776169713698
100, 50, 1, 0.9999999999999999, 0.8250410766135091
100, 500, 0, 1.0000000000000002, 0.8267368287913816
100, 2000, 0, 1.0000000000000002, 0.82719868730769
100, 500, 1, 0.9999999999999999, 0.8313882261670422
500, 50, 1, 1.0, 0.8223023030510861
500, 50, 0, 1.0000000000000002, 0.8221993139757645
100, 2000, 1, 0.9999999999999999, 0.8319773995126728
500, 500, 0, 1.0000000000000002, 0.8304838055612839
500, 500, 1, 1.0, 0.8307801969406752
500, 2000, 0, 1.0000000000000002, 0.8311033638335298
100, 50, 2, 1.0, 0.8101655797496196
500, 50, 2, 0.9999999999999999, 0.8248614028088498
500, 2000, 1, 1.0, 0.8313700924898935
1000, 50, 0, 0.9999999999999996, 0.82371280621386
100, 500, 2, 1.0, 0.8196790599320324
1000, 50, 1, 0.9999999999999998, 0.8235057159179725
500, 500, 2, 0.9999999999999999, 0.8330390548316173
1000, 500, 0, 0.9999999999999996, 0.8320798094823015
1000, 500, 1, 0.9999999999999998, 0.8321417370180898
100, 2000, 2, 1.0, 0.8201482546069957
1000, 50, 2, 1.0000000000000002, 0.8236426326047135
500, 2000, 2, 0.9999999999999999, 0.8336825173518119
100, 50, 3, 1.0, 0.8249714334454034
500, 50, 3, 1.0, 0.8231639269516887
1000, 500, 2, 1.0000000000000002, 0.8321873702627706
1000, 2000, 0, 0.9999999999999996, 0.8327141214951016
100, 500, 3, 1.0, 0.8324865496059602
500, 500, 3, 1.0, 0.831497712010669
1000, 2000, 1, 0.9999999999999998, 0.8328002356339732
1000, 50, 3, 0.9999999999999999, 0.8234116047965522
100, 2000, 3, 1.0, 0.8329487340108228
500, 2000, 3, 1.0, 0.8320687129280357
1000, 2000, 2, 1.0000000000000002, 0.8328680428215508
1000, 500, 3, 0.9999999999999999, 0.8318730035912052
100, 50, 4, 0.9999999999999999, 0.8301709980978336
500, 50, 4, 1.0, 0.824380847516716
1000, 50, 4, 0.9999999999999999, 0.8235275128535408
1000, 2000, 3, 0.9999999999999999, 0.8324920845304049
100, 500, 4, 0.9999999999999999, 0.8384526045349537
500, 500, 4, 1.0, 0.8327766123629761
1000, 500, 4, 0.9999999999999999, 0.8319327808611058
5000, 50, 2, 1.0000000000000029, 0.823385804878144
100, 2000, 4, 0.9999999999999999, 0.8389700465321045
5000, 50, 0, 1.0000000000000002, 0.8233675246153773
500, 2000, 4, 1.0, 0.833316821480336
5000, 50, 1, 0.9999999999999971, 0.8233377918807109
100, 50, 5, 1.0, 0.8266354332087108
500, 50, 5, 1.0000000000000002, 0.8223576779078775
1000, 50, 5, 0.9999999999999992, 0.822490025708584
5000, 500, 1, 0.9999999999999971, 0.8317642542743542
100, 500, 5, 1.0, 0.8347470263648775
5000, 50, 3, 1.0000000000000024, 0.8232946657636365
500, 500, 5, 1.0000000000000002, 0.8308646716018248
1000, 2000, 4, 0.9999999999999999, 0.8325698537662819
100, 2000, 5, 1.0, 0.8352676974872605
500, 2000, 5, 1.0000000000000002, 0.8315722111931053
5000, 50, 4, 1.0000000000000018, 0.8232884389225047
1000, 500, 5, 0.9999999999999992, 0.8309973220826344
100, 50, 6, 1.0, 0.8250020161074348
500, 50, 6, 1.0, 0.8241151843950049
1000, 50, 6, 0.9999999999999998, 0.8235052876752249
1000, 2000, 5, 0.9999999999999992, 0.8316770804304862
100, 500, 6, 1.0, 0.8333100387988142
500, 500, 6, 1.0, 0.8326660730442162
1000, 500, 6, 0.9999999999999998, 0.8318865328831941
5000, 500, 0, 1.0000000000000002, 0.8318278526906674
100, 2000, 6, 1.0, 0.8338383676588319
5000, 500, 2, 1.0000000000000029, 0.8318593499968968
500, 2000, 6, 1.0, 0.833200784482841
5000, 500, 3, 1.0000000000000024, 0.8317605566700503
100, 50, 7, 0.9999999999999998, 0.8227014273264148
500, 50, 7, 1.0, 0.8221429673817174
1000, 50, 7, 1.0000000000000007, 0.8238371974991265
1000, 2000, 6, 0.9999999999999998, 0.8325255495480618
100, 500, 7, 0.9999999999999998, 0.8319113012987035
500, 500, 7, 1.0, 0.8304374301458867
5000, 500, 4, 1.0000000000000018, 0.8317529284382479
1000, 500, 7, 1.0000000000000007, 0.832255965124809
100, 2000, 7, 0.9999999999999998, 0.8324454257944228
500, 2000, 7, 1.0, 0.8310738650308972
1000, 2000, 7, 1.0000000000000007, 0.8328711110855359
5000, 50, 5, 0.9999999999999987, 0.8233226984268747
100, 50, 8, 0.9999999999999999, 0.8182839008464803
500, 50, 8, 1.0000000000000002, 0.8246775799540033
1000, 50, 8, 1.0000000000000002, 0.8229923275313362
5000, 500, 5, 0.9999999999999987, 0.8317648061915123
100, 500, 8, 0.9999999999999999, 0.8264752093182697
500, 500, 8, 1.0000000000000002, 0.8327112693524799
5000, 50, 6, 0.9999999999999964, 0.8233161160514403
1000, 500, 8, 1.0000000000000002, 0.8314701116023855
100, 2000, 8, 0.9999999999999999, 0.8270035924324894
500, 2000, 8, 1.0000000000000002, 0.833341785989445
5000, 2000, 1, 0.9999999999999971, 0.8324243317983778
1000, 2000, 8, 1.0000000000000002, 0.8321605421777463
100, 50, 9, 1.0, 0.8201572246221875
5000, 2000, 2, 1.0000000000000029, 0.8325076187056286
500, 50, 9, 1.0, 0.8240555271315171
