grid_size, iteration bound, run, total_points, points_inside
100, 50, 7, 0.9999999999999999, 0.8209982176950017
500, 50, 7, 1.0, 0.8249991088699539
1000, 50, 7, 0.9999999999999997, 0.8224836773201601
1000, 2000, 6, 1.0000000000000004, 0.8325698091856637
100, 500, 7, 0.9999999999999999, 0.8306854776102279
500, 500, 7, 1.0, 0.8335383379520162
1000, 500, 7, 0.9999999999999997, 0.8310654942800669
5000, 500, 4, 0.9999999999999962, 0.8317725175871058
100, 2000, 7, 0.9999999999999999, 0.8317333720702456
500, 2000, 7, 1.0, 0.8342647608423848
5000, 50, 5, 0.9999999999999988, 0.8233754172379394
1000, 2000, 7, 0.9999999999999997, 0.8317494793063722
100, 50, 8, 1.0, 0.8216542773363601
500, 50, 8, 0.9999999999999998, 0.8235703251473536
1000, 50, 8, 0.9999999999999996, 0.8227897658496969
5000, 50, 6, 1.000000000000003, 0.8232042688977778
100, 500, 8, 1.0, 0.8297858615156146
500, 500, 8, 0.9999999999999998, 0.8320837343663422
1000, 500, 8, 0.9999999999999996, 0.8310607290613143
5000, 500, 5, 0.9999999999999988, 0.8318175149350422
100, 2000, 8, 1.0, 0.8304469452125907
500, 2000, 8, 0.9999999999999998, 0.8326880707000679
5000, 50, 7, 0.9999999999999999, 0.8232710614737502
1000, 2000, 8, 0.9999999999999996, 0.8317049915445172
100, 50, 9, 1.0, 0.829518565788002
500, 50, 9, 0.9999999999999998, 0.823782117700356
1000, 50, 9, 0.9999999999999999, 0.822715784356924
5000, 50, 8, 0.999999999999999, 0.8232352600548553
100, 500, 9, 1.0, 0.8395781674973188
500, 500, 9, 0.9999999999999998, 0.8321002756654375
5000, 500, 6, 1.000000000000003, 0.8316225203044181
1000, 500, 9, 0.9999999999999999, 0.8313302907821809
100, 2000, 9, 1.0, 0.8403675649253654
500, 2000, 9, 0.9999999999999998, 0.8326739421700857
1000, 2000, 9, 0.9999999999999999, 0.8319534261740682
5000, 500, 7, 0.9999999999999999, 0.8317155426040239
5000, 2000, 0, 1.0000000000000027, 0.8324289664752499
5000, 2000, 1, 1.0000000000000002, 0.8324589602763327
5000, 2000, 2, 1.0000000000000013, 0.8323282185226081
5000, 2000, 3, 1.0000000000000013, 0.8324513495765224
5000, 50, 9, 1.0, 0.8233173139981698
5000, 500, 8, 0.999999999999999, 0.8316715002569651
5000, 2000, 4, 0.9999999999999962, 0.8324213110287367
5000, 500, 9, 1.0, 0.8317935652484311
5000, 2000, 5, 0.9999999999999988, 0.832466834343231
5000, 2000, 6, 1.000000000000003, 0.8322853004191155
5000, 2000, 7, 0.9999999999999999, 0.8323704058885141
5000, 2000, 8, 0.999999999999999, 0.8323287390773872
5000, 2000, 9, 1.0, 0.8324385554364981
