grid_size, iteration bound, run, total_points, points_inside
100, 50, 1, 1.0, 0.8236165235914741
100, 50, 0, 1.0, 0.8273671661491213
100, 500, 0, 1.0, 0.8345183620452954
100, 2000, 0, 1.0, 0.8354938897622833
100, 500, 1, 1.0, 0.8313766596143333
500, 50, 1, 0.9999999999999999, 0.8225306584440387
500, 50, 0, 0.9999999999999999, 0.8227871626026646
100, 2000, 1, 1.0, 0.831837490031194
500, 500, 0, 0.9999999999999999, 0.8312409951858439
500, 500, 1, 0.9999999999999999, 0.8310728103256881
500, 2000, 0, 0.9999999999999999, 0.8319180021341904
100, 50, 2, 1.0, 0.8235806417856093
1000, 50, 0, 0.9999999999999993, 0.8227805303941511
1000, 50, 1, 1.0, 0.8233165841880823
500, 50, 2, 0.9999999999999998, 0.8230007082503836
100, 500, 2, 1.0, 0.8325886287704546
500, 2000, 1, 0.9999999999999999, 0.8315490797526599
500, 500, 2, 0.9999999999999998, 0.8315998583188244
1000, 500, 0, 0.9999999999999993, 0.8313127060353542
100, 2000, 2, 1.0, 0.8329180505585654
1000, 500, 1, 1.0, 0.8319155267270175
1000, 50, 2, 0.9999999999999993, 0.8238354099830781
500, 2000, 2, 0.9999999999999998, 0.8322841051817974
100, 50, 3, 1.0000000000000002, 0.8211891920240058
1000, 500, 2, 0.9999999999999993, 0.83216030693101
500, 50, 3, 1.0, 0.8250224136324987
1000, 2000, 0, 0.9999999999999993, 0.8319796404488156
100, 500, 3, 1.0000000000000002, 0.8296484281060389
1000, 2000, 1, 1.0, 0.8325565709862768
500, 500, 3, 1.0, 0.8335068926036989
1000, 50, 3, 0.9999999999999996, 0.8230147386559132
100, 2000, 3, 1.0000000000000002, 0.8312482581846483
500, 2000, 3, 1.0, 0.8341168370297665
1000, 2000, 2, 0.9999999999999993, 0.8328413283937225
1000, 500, 3, 0.9999999999999996, 0.8316517211287452
100, 50, 4, 1.0, 0.8175843420830607
500, 50, 4, 1.0000000000000002, 0.8240992593093998
1000, 50, 4, 1.0, 0.8229735661390146
1000, 2000, 3, 0.9999999999999996, 0.832294245377518
100, 500, 4, 1.0, 0.8261242129066583
500, 500, 4, 1.0000000000000002, 0.8324691508183277
1000, 500, 4, 1.0, 0.8312702112606934
5000, 50, 0, 0.9999999999999994, 0.8231170302366101
100, 2000, 4, 1.0, 0.8270446303670551
5000, 50, 1, 0.9999999999999976, 0.8232456726001142
500, 2000, 4, 1.0000000000000002, 0.8330900961791013
5000, 50, 2, 0.9999999999999973, 0.8232810126975759
100, 50, 5, 1.0, 0.8209832227163614
500, 50, 5, 1.0, 0.8243506233142579
1000, 50, 5, 0.9999999999999993, 0.8233467888485433
5000, 50, 3, 1.000000000000002, 0.8233362852010193
100, 500, 5, 1.0, 0.8280953713453361
500, 500, 5, 1.0, 0.8324297678484786
1000, 2000, 4, 1.0, 0.8318089267301102
1000, 500, 5, 0.9999999999999993, 0.8316462577688449
100, 2000, 5, 1.0, 0.8285526550868391
500, 2000, 5, 1.0, 0.8329824980605518
5000, 50, 4, 1.0000000000000009, 0.8234405034217133
1000, 2000, 5, 0.9999999999999993, 0.8323114296859516
100, 50, 6, 1.0000000000000002, 0.8329686952831988
500, 50, 6, 1.0, 0.8233358848022191
1000, 50, 6, 1.0000000000000004, 0.8238761514708458
5000, 500, 0, 0.9999999999999994, 0.831568688702002
100, 500, 6, 1.0000000000000002, 0.8402346015352651
500, 500, 6, 1.0, 0.8319796296617047
5000, 500, 1, 0.9999999999999976, 0.831696100285511
1000, 500, 6, 1.0000000000000004, 0.8325691617900614
100, 2000, 6, 1.0000000000000002, 0.8406243946384994
5000, 500, 2, 0.9999999999999973, 0.8317613818672023
500, 2000, 6, 1.0, 0.8326429947987304
5000, 500, 3, 1.000000000000002, 0.8317875429615652
100, 50, 7, 1.0, 0.8282417622417639
500, 50, 7, 1.0000000000000002, 0.8222806380304261
1000, 50, 7, 0.9999999999999998, 0.8234598006160059
1000, 2000, 6, 1.0000000000000004, 0.8332388450694876
100, 500, 7, 1.0, 0.8363758659323629
500, 500, 7, 1.0000000000000002, 0.830657566220428
1000, 500, 7, 0.9999999999999998, 0.8319659726230231
5000, 500, 4, 1.0000000000000009, 0.8318870999451615
100, 2000, 7, 1.0, 0.8370386474336591
500, 2000, 7, 1.0000000000000002, 0.8312727872967746
1000, 2000, 7, 0.9999999999999998, 0.8325828544553917
5000, 50, 5, 1.000000000000003, 0.8232337865194165
100, 50, 8, 1.0, 0.8235307430879218
500, 50, 8, 1.0, 0.8222281487988203
1000, 50, 8, 0.9999999999999997, 0.8239296243870745
5000, 50, 6, 0.9999999999999991, 0.8232760246180164
100, 500, 8, 1.0, 0.8315700067105061
500, 500, 8, 1.0, 0.8310116061124544
1000, 500, 8, 0.9999999999999997, 0.8323612269639488
5000, 500, 5, 1.000000000000003, 0.8316423550513876
100, 2000, 8, 1.0, 0.8322350305740877
500, 2000, 8, 1.0, 0.8315701883796284
5000, 50, 7, 0.9999999999999984, 0.8233946049450656
1000, 2000, 8, 0.9999999999999997, 0.8330380905270363
100, 50, 9, 1.0, 0.8305731130330493
500, 50, 9, 1.0, 0.8235662863482763
1000, 50, 9, 1.0, 0.8230041826379147
5000, 500, 6, 0.9999999999999991, 0.8317202828860493
100, 500, 9, 1.0, 0.8388092771514636
500, 500, 9, 1.0, 0.8318074390519623
1000, 500, 9, 1.0, 0.8313981044577079
5000, 2000, 0, 0.9999999999999994, 0.8322215776377657
100, 2000, 9, 1.0, 0.8398722458935516
5000, 2000, 1, 0.9999999999999976, 0.8323366507156997
5000, 50, 8, 1.0000000000000007, 0.8232516787560032
500, 2000, 9, 1.0, 0.8324736043688351
5000, 2000, 2, 0.9999999999999973, 0.8324087018937159
1000, 2000, 9, 1.0, 0.8320605930448937
5000, 500, 7, 0.9999999999999984, 0.8318511703812413
5000, 2000, 3, 1.000000000000002, 0.832439281506531
5000, 50, 9, 1.000000000000002, 0.8229763594285823
5000, 500, 8, 1.0000000000000007, 0.8317193096177936
5000, 2000, 4, 1.0000000000000009, 0.8325431904060622
5000, 2000, 5, 1.000000000000003, 0.8322902673990311
5000, 500, 9, 1.000000000000002, 0.8314753961586414
5000, 2000, 6, 0.9999999999999991, 0.8323684840086825
5000, 2000, 7, 0.9999999999999984, 0.8324927847426862
5000, 2000, 8, 1.0000000000000007, 0.8323653118514427
5000, 2000, 9, 1.000000000000002, 0.8321250447640254
